,ID,ID_FIN_PARCELA_PAGAR,ID_FIN_TIPO_PAGAMENTO,ID_CONTA_CAIXA,DATA_PAGAMENTO,TAXA_JURO,TAXA_MULTA,TAXA_DESCONTO,VALOR_JURO,VALOR_MULTA,VALOR_DESCONTO,VALOR_PAGO,HISTORICO
0,127,66,11,3,2022-06-13,0.0,0.0,0.0,0.0,0.0,0.0,40.24,
1,142,283,11,3,2022-06-27,0.0,0.0,0.0,0.0,0.0,0.0,1036.19,
2,143,284,11,3,2022-06-27,0.0,0.0,0.0,0.0,0.0,0.0,199.5,
3,144,285,11,3,2022-06-27,0.0,0.0,0.0,0.0,0.0,0.0,195.6,
4,146,287,11,3,2022-06-27,0.0,0.0,0.0,0.0,0.0,0.0,533.8,
5,147,116,11,3,2022-06-27,0.0,0.0,0.0,0.0,0.0,0.0,210.12,
6,148,289,11,3,2022-06-27,0.0,0.0,0.0,0.0,0.0,0.0,90.97,
7,149,290,11,3,2022-06-27,0.0,0.0,0.0,0.0,0.0,0.0,175.56,
8,151,291,11,3,2022-06-27,0.0,0.0,0.0,0.0,0.0,0.0,6746.74,
9,152,297,11,3,2022-06-27,0.0,0.0,0.0,0.0,0.0,0.0,9.93,
10,153,296,11,3,2022-06-27,0.0,0.0,0.0,0.0,0.0,0.0,1096.86,
11,154,298,11,3,2022-06-27,0.0,0.0,0.0,0.0,0.0,0.0,1095.42,
12,155,107,11,3,2022-06-27,0.0,0.0,0.0,0.0,0.0,0.0,2742.3,
13,156,105,11,3,2022-06-27,0.0,0.0,0.0,0.0,0.0,0.0,2594.21,
14,157,103,11,3,2022-06-27,0.0,0.0,0.0,0.0,0.0,0.0,829.68,
15,158,300,11,3,2022-06-23,0.0,0.0,0.0,0.0,0.0,0.0,138.0,
16,159,301,11,3,2022-06-23,0.0,0.0,0.0,0.0,0.0,0.0,1658.65,
17,160,302,11,3,2022-06-23,0.0,0.0,0.0,0.0,0.0,0.0,634.11,
18,161,304,11,3,2022-06-23,0.0,0.0,0.0,0.0,0.0,0.0,825.3,
19,162,228,11,3,2022-06-23,0.0,0.0,0.0,0.0,0.0,0.0,1650.0,
20,163,99,11,3,2022-06-22,0.0,0.0,0.0,0.0,0.0,0.0,1905.35,
21,164,307,11,3,2022-06-22,0.0,0.0,0.0,0.0,0.0,0.0,22.48,
22,165,308,11,3,2022-06-22,0.0,0.0,0.0,0.0,0.0,0.0,25.8,
23,166,94,11,3,2022-06-22,0.0,0.0,0.0,0.0,0.0,0.0,1339.91,
24,167,96,11,3,2022-06-22,0.0,0.0,0.0,0.0,0.0,0.0,1180.17,
25,168,91,11,3,2022-06-20,0.0,0.0,0.0,0.0,0.0,0.0,369.68,
26,169,311,11,3,2022-06-20,0.0,0.0,0.0,0.0,0.0,0.0,92.0,
27,170,244,11,3,2022-06-20,0.0,0.0,0.0,0.0,0.0,0.0,435.81,
28,171,313,11,3,2022-06-20,0.0,0.0,0.0,0.0,0.0,0.0,1059.25,
29,172,246,11,3,2022-06-20,0.0,0.0,0.0,0.0,0.0,0.0,174.6,
30,175,86,11,3,2022-06-20,0.0,0.0,0.0,0.0,0.0,0.0,931.81,
31,176,276,11,3,2022-06-20,0.0,0.0,0.0,0.0,0.0,0.0,719.0,
32,177,314,11,3,2022-06-13,0.0,0.0,0.0,0.0,0.0,0.0,652.76,
33,178,260,11,3,2022-06-13,0.0,0.0,0.0,0.0,0.0,0.0,397.51,
34,179,317,13,1,2022-07-01,0.0,0.0,0.0,0.0,0.0,0.0,703.1,
35,180,320,13,1,2022-07-01,0.0,0.0,0.0,0.0,0.0,0.0,280.0,
36,181,321,13,1,2022-07-01,0.0,0.0,0.0,0.0,0.0,0.0,32.91,
37,182,169,11,3,2022-06-13,0.0,0.0,0.0,0.0,0.0,0.0,237.5,
38,183,167,11,3,2022-06-13,0.0,0.0,0.0,0.0,0.0,0.0,108.8,
39,184,170,11,3,2022-06-13,0.0,0.0,0.0,0.0,0.0,0.0,8.18,
40,185,168,12,3,2022-06-13,0.0,0.0,0.0,0.0,0.0,0.0,1147.5,
41,186,166,11,3,2022-06-13,0.0,0.0,0.0,0.0,0.0,0.0,305.0,
42,187,163,11,3,2022-06-13,0.0,0.0,0.0,0.0,0.0,0.0,61.78,
43,188,165,11,3,2022-06-13,0.0,0.0,0.0,0.0,0.0,0.0,330.59,
44,189,164,11,3,2022-06-13,0.0,0.0,0.0,0.0,0.0,0.0,1438.1,
45,191,327,11,3,2022-06-07,0.0,0.0,0.0,0.0,0.0,0.0,817.5,
46,192,329,11,3,2022-06-06,0.0,0.0,0.0,0.0,0.0,0.0,773.0,
47,193,333,11,3,2022-06-06,0.0,0.0,0.0,0.0,0.0,0.0,169.06,
48,194,335,11,3,2022-06-06,0.0,0.0,0.0,0.0,0.0,0.0,1823.88,
49,195,326,11,3,2022-06-06,0.0,0.0,0.0,0.0,0.0,0.0,200.0,
50,196,328,11,3,2022-06-06,0.0,0.0,0.0,0.0,0.0,0.0,371.25,
51,197,325,11,3,2022-06-06,0.0,0.0,0.0,0.0,0.0,0.0,272.5,
52,198,336,11,3,2022-06-06,0.0,0.0,0.0,0.0,0.0,0.0,1667.83,
53,199,338,11,3,2022-06-06,0.0,0.0,0.0,0.0,0.0,0.0,154.0,
54,200,339,11,3,2022-06-06,0.0,0.0,0.0,0.0,0.0,0.0,192.75,
55,201,340,11,3,2022-06-06,0.0,0.0,0.0,0.0,0.0,0.0,140.0,
56,202,341,11,3,2022-06-06,0.0,0.0,0.0,0.0,0.0,0.0,119.9,
57,203,208,11,3,2022-06-06,0.0,0.0,0.0,0.0,0.0,0.0,850.0,
58,204,158,11,3,2022-06-06,0.0,0.0,0.0,0.0,0.0,0.0,235.23,
59,205,157,11,3,2022-06-06,0.0,0.0,0.0,0.0,0.0,0.0,305.0,
60,207,111,11,3,2022-06-06,0.0,0.0,0.0,0.0,0.0,0.0,7.18,
61,208,119,11,3,2022-06-06,0.0,0.0,0.0,0.0,0.0,0.0,15.48,
62,209,125,11,3,2022-06-06,0.0,0.0,0.0,0.0,0.0,0.0,41.5,
63,210,124,11,3,2022-06-06,0.0,0.0,0.0,0.0,0.0,0.0,302.35,
64,212,202,11,3,2022-06-06,0.0,0.0,0.0,0.0,0.0,0.0,1362.0,
65,213,342,11,3,2022-06-06,0.0,0.0,0.0,0.0,0.0,0.0,80.0,
66,214,343,11,3,2022-06-06,0.0,0.0,0.0,0.0,0.0,0.0,67.25,
67,215,121,11,3,2022-06-06,0.0,0.0,0.0,0.0,0.0,0.0,810.27,
68,216,152,11,3,2022-06-06,0.0,0.0,0.0,0.0,0.0,0.0,585.22,
69,219,381,11,3,2022-07-05,0.0,0.0,0.0,0.0,0.0,0.0,104.12,
70,220,382,11,3,2022-07-03,0.0,0.0,0.0,0.0,0.0,0.0,179.8,
71,221,383,11,3,2022-07-04,0.0,0.0,0.0,0.0,0.0,0.0,955.71,
72,222,384,11,3,2022-07-04,0.0,0.0,0.0,0.0,0.0,0.0,473.37,
73,223,385,11,3,2022-07-04,0.0,0.0,0.0,0.0,0.0,0.0,2363.18,
74,224,292,11,3,2022-07-05,0.0,0.0,0.0,0.0,0.0,0.0,4038.36,
75,225,386,11,3,2022-07-04,0.0,0.0,0.0,0.0,0.0,0.0,98.6,
76,227,387,11,3,2022-07-04,0.0,0.0,0.0,0.0,0.0,0.0,1996.51,
77,228,388,11,3,2022-07-04,0.0,0.0,0.0,0.0,0.0,0.0,718.85,
78,230,391,11,3,2022-07-04,0.0,0.0,0.0,0.0,0.0,0.0,3200.0,
79,231,392,11,3,2022-07-04,0.0,0.0,0.0,0.0,0.0,0.0,41.25,
80,232,393,11,3,2022-07-04,0.0,0.0,0.0,0.0,0.0,0.0,144.08,
81,233,394,11,3,2022-07-04,0.0,0.0,0.0,0.0,0.0,0.0,117.52,
82,235,347,11,3,2022-07-05,16.268573,0.0,0.0,1.3,0.0,0.0,651.3,
83,236,398,13,1,2022-07-05,0.0,0.0,2.152642,0.0,0.0,5.5,250.0,
84,237,399,11,3,2022-07-04,568.072765,0.0,0.0,0.99,0.0,0.0,30.89,
